GSL,All_Traffic,EDGE_Traffic,BPDCH,EPDCH
11.04573171,203.3404102,180.0363379,8.641666,131.147222
11.00917431,130.2907031,109.4105762,5.808333,127.772222
11.01834862,164.7240137,139.2826758,8.119444,132.336111
13.15902141,1102.552656,1039.685225,19.127777,269.636111
20.75914634,4766.35041,4582.375635,68.458333,756.455555
29.06727829,10296.07248,9812.583105,157.066666,1318.972222
23.26605505,7460.227891,7192.062998,92.152777,949.936111
20.24464832,5366.36125,5148.716641,81.280555,754.836111
19.64939024,5191.953828,4987.934053,73.272222,721.486111
19.88073394,5397.953604,5229.845928,71.322222,737.430555
19.91131498,5376.961709,5192.065684,76.880555,732.838888
19.76829268,5141.453252,4971.840635,69.261111,728.788888
19.70948012,5086.0646,4906.858291,75.519444,725.741666
20.14984709,5225.146973,5019.975391,78.458333,747.505555
22.51681957,6463.591826,6237.514238,83.430555,897.494444
25.79573171,8693.538154,8310.599639,122.516666,1109.497222
22.19266055,6833.493584,6587.272412,74.888888,873.591666
19.65443425,5354.603115,5211.542969,54.458333,711.627777
19.20795107,4978.375439,4824.010547,55.038888,676.544444
17.25609756,4013.921953,3894.545889,37.688888,551.783333
13.32415902,1856.339668,1813.490527,13.508333,299.916666
11.79510703,740.2027148,694.6450293,12.116666,198.936111
11.36890244,558.6556738,530.8809961,8.652777,172.763888
11.13761468,317.4115723,288.8233496,7.716666,150.283333
11.03363914,202.4072656,182.4580664,4.902777,138.202777
11.00611621,193.0067188,171.2934961,4.941666,132.008333
11.01219512,235.3851074,204.7189063,6.033333,133.863888
12.94801223,1075.930039,1014.352891,19.388888,261.852777
20.57798165,4845.438437,4662.2075,62.169444,754.597222
28.29357798,9787.851328,9350.978848,139.827777,1264.958333
23.00304878,7551.099502,7290.287705,90.577777,941.736111
20.37308869,5748.140469,5530.628965,73.786111,773.802777
19.69724771,5220.682832,5031.57123,71.213888,729.605555
19.80792683,5597.488203,5421.597529,72.316666,736.875
19.79816514,5288.061299,5113.976562,66.913888,727.091666
19.98165138,5232.173545,5037.359199,71.697222,734.908333
20.01529052,5347.944766,5150.150244,64.702777,740.45
20.07012195,5351.9296,5151.892646,73.219444,754.772222
22.87155963,6779.493447,6572.51498,83.236111,917.283333
27.03058104,9691.273076,9316.790977,121.158333,1191.85
22.93883792,7327.396943,7113.09123,78.333333,923.844444
19.56707317,5102.43999,4954.232773,58.961111,708.033333
19.55657492,5223.667002,5090.020684,52.655555,697.9
17.99388379,4544.86915,4444.358037,40.413888,601.230555
13.4847561,1866.639541,1822.828906,16.630555,311.672222
11.73088685,659.7383203,625.9374316,12.577777,198.325
11.36697248,453.3337695,425.9969727,12.877777,174.838888
11.11009174,231.1701855,199.4206836,9.822222,152.291666
11.0152439,194.5569043,168.9055371,6.522222,141.447222
11.0030581,194.018877,171.8614355,5.602777,131.211111
11,152.5417383,123.041123,7.186111,124.936111
12.50152905,830.340791,780.8624609,12.686111,234.730555
16.42682927,2901.793691,2810.433008,32.711111,484.019444
19.41896024,4745.31585,4573.449824,60.436111,691.408333
19.52905199,5139.356826,4954.661797,67.425,710.263888
19.42378049,5028.56208,4837.753506,73.566666,707.658333
19.33944954,5181.914551,5003.481602,69.855555,706.655555
19.20795107,5170.382725,4993.186367,72.888888,702.705555
19.90214067,5731.715742,5550.958486,71.891666,741.411111
19.66768293,5561.827734,5378.565459,72.547222,731.630555
19.03058104,5115.528545,4924.605459,68.291666,691
19.75535168,5430.847656,5257.861865,70.380555,731.369444
20.82262997,6039.384746,5814.51751,83.511111,785.902777
21.70121951,6674.483242,6414.004971,92.808333,848.308333
19.77370031,5603.575771,5402.77998,71.25,727.822222
18.68807339,4775.543086,4609.904189,62.125,651.361111
18.69512195,4778.868037,4621.78999,62.141666,646.861111
17.18042813,3961.488516,3828.015137,49.483333,549.058333
13.25382263,1808.628994,1758.138125,18.388888,293.808333
